Source,picture,Catalog#,Lizard_ID,Species,Sex,Status,Collection_Date,collector,Locality,Collection_Notes,Dissection_Notes,Country,Latitude,Longitude,State,elevation,County,spatial_accuracy,Study,georef_verif,SVL,insert_elbow,Tail,elbow_wrist,Tail Diam,wrist_3rd,HL,trunk,HW,Tail Circum,HL_ear_rostral,Mass_grams,
test record,040 after rats small.jpg,0,testrecord,suspectum,female,alive,2006,gienger and cohen,Valley of Fire State Park,V. Fire geo referenced; test record,,USA,36.4525628,-114.5152187,Nevada,645,Clark,1,Gienger 2003-V.F.,Yes,,,,,,,,,,,,,
AMNH,,617,AMNH617,horridum,,,Unknown,,No locality data,,,Mexico,,,Guerrero,,,,,,,,,,,,,,,,,,
AMNH,,618,AMNH618,horridum,,,Unknown,,"""Mexico""",,,Mexico,,,unknown,,,,,ref not possible,,,,,,,,,,,,,
AMNH,,7216,AMNH7216,horridum,,,"May, 1895",Robinette,"Puebla de San Francisco, Teritoria de Tepic",,,Mexico,,,Tepic,,,,,flag to revisit later,,,,,,,,,,,,,
AMNH,,15370,AMNH15370,horridum,,,8/12/1919,RRico via Pruthling,N of Hacienda de El Colomo,,,Mexico,,,Colima,,,,,,,,,,,,,,,,,,
AMNH,,19384,AMNH19384,horridum,,,5/16/1920,Pruthling,W of Mixtequillo,,,Mexico,,,Oaxaca,,,,,,,,,,,,,,,,,,
AMNH,,28724,AMNH28724,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,56439,AMNH56439,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,57768,AMNH57768,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,57863,AMNH57863,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,57868,AMNH57868,horridum,,,Unknown,,No locality data,,,unknown,,,unknown,,unknown,,,ref not possible,,,,,,,,,,,,,
AMNH,,62348,AMNH62348,horridum,,,11/21/1939,C.M. Bogert,12 mi. North of Rosario,,,Mexico,23.0816268,-106.030426,Sinaloa,,,5,,Yes,,,,,,,,,,,,,
AMNH,,63698,AMNH63698,horridum,,,June-October 1941,J.W. Hilton,"Guirocoba, 18 mi. SE of Alamos (1485 ft.)",,,Mexico,26.8833333,-108.6833333,Sonora,410,,5,,Yes,,,,,,,,,,,,,
AMNH,,63699,AMNH63699,horridum,,,June-October 1941,J.W. Hilton,"Guirocoba, 18 mi. SE of Alamos (1485 ft.)",,,Mexico,26.8833333,-108.6833333,Sonora,410,,5,,Yes,,,,,,,,,,,,,
AMNH,,63700,AMNH63700,horridum,,,June-October 1941,J.W. Hilton,"Guirocoba, 18 mi. SE of Alamos (1485 ft.)",,,Mexico,26.8833333,-108.6833333,Sonora,410,,5,,Yes,,,,,,,,,,,,,
AMNH,,63701,AMNH63701,horridum,,,June-October 1941,J.W. Hilton,"Guirocoba, 18 mi. SE of Alamos (1485 ft.)",,,Mexico,26.8833333,-108.6833333,Sonora,410,,5,,Yes,,,,,,,,,,,,,
AMNH,,63702,AMNH63702,horridum,,,June-October 1941,J.W. Hilton,"Guirocoba, 18 mi. SE of Alamos (1485 ft.)",,,Mexico,26.8833333,-108.6833333,Sonora,410,,5,,Yes,,,,,,,,,,,,,
AMNH,,63703,AMNH63703,horridum,,,June-October 1941,J.W. Hilton,"Guirocoba, 18 mi. SE of Alamos (1485 ft.)",,,Mexico,26.8833333,-108.6833333,Sonora,410,,5,,Yes,,,,,,,,,,,,,
AMNH,,64128,AMNH64128,horridum,,,8/27/1942,C.M. Bogert,Alamos,,,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,,,,,,,,,,,,,
AMNH,,64220,AMNH64220,horridum,,,8/27/1942,C.M. Bogert,Alamos,,,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,,,,,,,,,,,,,
AMNH,,64221,AMNH64221,horridum,,,8/27/1942,C.M. Bogert,Alamos,,,Mexico,27.0267124,-108.9400005,Sonora,382,,5,,Yes,,,,,,,,,,,,,
