"","Pools","Year","Max_RSYL","Max_AMAC","Max_Depth","Max_Length","Max_Width","Park","LatDD","LongDD","Freq","Mean.Lat","State","PDSI"
"95","ANWRLMAD15-3",2004,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"96","ANWRLMAD15-3",2005,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"97","ANWRLMAD15-3",2006,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"98","ANWRLMAD15-3",2007,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"99","ANWRLMAD15-3",2008,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"100","ANWRLMAD15-3",2009,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"101","ANWRLMAD15-3",2010,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"102","ANWRLMAD15-3",2011,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"103","ANWRLMAD15-3",2012,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"104","ANWRLMAD15-3",2013,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"105","ANWRLMAD15-3",2014,NA,NA,NA,NA,NA,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"91","ANWRLMAD15-3",2015,0,29,43.18,13.6,10.93,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"92","ANWRLMAD15-3",2016,1,30,64.77,16,13,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"93","ANWRLMAD15-3",2017,52,61,90.1,22.25,19.1,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"94","ANWRLMAD15-3",2018,46,62,68.5,17,13.8,"MHN",46.96896,-68.0185,4,45.523678645614,"ME","-1.79"
"158","ANWROBAR",2004,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"159","ANWROBAR",2005,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"160","ANWROBAR",2006,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"161","ANWROBAR",2007,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"162","ANWROBAR",2008,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"163","ANWROBAR",2009,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"164","ANWROBAR",2010,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"165","ANWROBAR",2011,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"166","ANWROBAR",2012,NA,NA,NA,NA,NA,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"152","ANWROBAR",2013,1,26,62,33,27,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"153","ANWROBAR",2014,33,27,47,24,27.7,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"154","ANWROBAR",2015,80,31,46.9,32.5,29.6,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"155","ANWROBAR",2016,51,20,33,33,30,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"156","ANWROBAR",2017,73,65,46.9,34.5,29.45,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
"157","ANWROBAR",2018,45,102,40.6,32,20,"MHN",46.948287,-67.858388,6,45.523678645614,"ME","-1.79"
